citizenid,total_property_owned,years_at_current_address,zipcode,address
34199,1,6,98429,"3474 Michael Haven, Angelaborough, ID 98429"
97038,5,5,26560,"523 Henson Circle, West Alexandria, MT 26560"
24943,1,7,66276,"22725 Blevins Squares, Lake Jeffrey, MT 66276"
38112,1,9,47446,"781 Joel Union Apt. 999, Morganport, WY 47446"
97810,4,10,87287,"37276 Zachary Square, Bruceport, GA 87287"
70756,2,4,74505,"12338 Jessica Extensions Apt. 629, Tylerview, WY 74505"
71935,4,7,55955,"590 Antonio Flats Suite 938, East Ronald, NJ 55955"
14645,1,7,3787,"11104 Edwards Street Suite 082, Dixonton, UT 03787"
21436,1,6,7096,"1549 Rhonda Centers Suite 852, East Benjamin, CA 07096"
21863,4,5,30614,"2213 Juan Club, South Judithville, MD 30614"
74737,2,10,82419,"Unit 9195 Box 0145, DPO AP 82419"
99303,1,9,29700,"6557 David Ridges, South Hailey, WY 29700"
57228,1,7,75741,"67274 James Path, Alexanderside, UT 75741"
66380,8,7,15961,"211 Heather Village, South Jesus, WI 15961"
47657,1,5,70938,"726 James Manor, South Michaelhaven, NY 70938"
44516,4,5,84886,"02195 Sandra Curve, Higginschester, NJ 84886"
31608,1,6,45382,"802 Deleon Glen Suite 556, New Robert, NC 45382"
45858,1,7,55967,"546 Barker Hills, East Haley, MA 55967"
81963,1,8,28805,"659 Pham Fields, West Kathymouth, SC 28805"
47558,1,5,78426,"USNV Morrow, FPO AA 78426"
64364,8,6,78337,"4880 Singleton Passage, Port John, HI 78337"
64287,1,9,68158,"3415 Patel Ford, Nicholastown, ND 68158"
95591,1,8,33721,"333 Morales Pines Apt. 156, Port James, PA 33721"
31396,1,8,1000,"6990 Samantha Way Suite 198, West Melissaton, VA 01000"
86967,2,9,41742,"2534 Judy Alley, East Robertmouth, MS 41742"
69364,1,5,43306,"2573 Joseph Extension Apt. 696, New Ericside, DC 43306"
79347,5,10,20295,"6012 Lozano Wells Suite 610, Adamtown, PA 20295"
78102,3,6,31586,"PSC 0267, Box 7848, APO AP 31586"
71229,2,7,33040,"PSC 7334, Box 6147, APO AE 33040"
57099,3,5,57874,"5633 Williams Fork, Randallmouth, WA 57874"
14891,1,7,2331,"04211 Nunez Forks Apt. 602, Shannonfurt, NH 02331"
69375,1,5,31974,"2117 Rios Rest Apt. 514, Lisaport, UT 31974"
21550,4,6,49822,"71126 Poole Haven, Port Ashley, NM 49822"
50417,1,9,64524,"10067 Carla Trace, South Raymond, MS 64524"
58827,1,6,98231,"Unit 8513 Box 3427, DPO AP 98231"
59583,1,5,58052,"85247 Karen Green Suite 298, East Jeanview, NH 58052"
42289,1,7,49285,"839 Campbell Meadows, West Dylan, OR 49285"
35400,6,7,72192,"84261 Winters Forges, Jennifertown, SC 72192"
95847,1,8,30834,"139 Haynes Crest Suite 391, Lake Aaronmouth, IN 30834"
49461,1,6,42501,"PSC 6957, Box 0261, APO AP 42501"
92748,1,7,16143,"69547 Leon Pine, Port Kaylahaven, NV 16143"
79555,2,7,22814,"63793 Alvarez Squares, South Marcus, TX 22814"
91235,1,4,24400,"81564 Maria Cove Suite 048, Lake Heather, VA 24400"
98437,3,7,91921,"53624 Amy Meadow, Nealchester, WV 91921"
41591,1,9,81611,"Unit 4240 Box 3654, DPO AP 81611"
53384,10,6,66781,"0633 Jonathon Island Apt. 551, Clarkfort, CT 66781"
14492,1,8,20969,"47836 Nicholas Stravenue Suite 025, New Brian, OR 20969"
45736,2,6,95593,"98863 Susan Squares Suite 115, Reyesstad, AL 95593"
32767,1,7,41567,"56106 Roberto Forks Suite 978, Cohenmouth, IA 41567"
83811,1,7,7430,"380 Williams Mall Apt. 413, West Mollymouth, DE 07430"
91445,10,10,41622,"3805 Gregg Ports, Christineside, AR 41622"
82563,1,7,86775,"2236 Farrell Fields, Josephchester, WA 86775"
14643,1,6,98043,"65490 Obrien Pines Suite 442, New Dawn, NC 98043"
20238,1,6,92064,"804 Lopez Lake Suite 957, Deanberg, PA 92064"
56046,1,4,46331,"89280 Hunter Plain Apt. 830, Harrisfort, HI 46331"
27635,1,6,27260,"565 Austin Meadow Suite 151, Garcialand, ME 27260"
52601,1,8,2168,"146 Robinson Freeway Apt. 525, Pamelaville, PA 02168"
37607,2,7,14763,"3642 Daniel Tunnel, Williamsport, DE 14763"
99821,1,7,79581,"674 Dylan Spur Suite 658, Thompsonborough, MD 79581"
99035,1,5,49349,"15410 Taylor Turnpike Apt. 798, Jameshaven, AL 49349"
15641,1,8,61597,"61780 Michelle Fords, Jacksonmouth, OH 61597"
55408,1,0,45319,"923 Brandy Glens, New Ashley, WA 45319"
98365,1,9,26563,"98590 Maynard Views Apt. 117, East Crystalfurt, NY 26563"
24085,1,5,51563,"22043 Nelson Row Apt. 229, Port Leslieview, OR 51563"
68711,1,5,28531,"865 Megan Throughway Apt. 742, Brownton, MO 28531"
13233,1,8,48232,"48113 Rubio Mountains, South Leefurt, ID 48232"
20942,1,8,23451,"88908 Mccullough Trail Suite 312, Lake Bonnieville, OK 23451"
12913,1,1,34200,"74110 Wood Lane, Cruzview, OK 34200"
72746,1,10,7313,"PSC 3092, Box 7650, APO AE 07313"
73338,1,7,20275,"2327 Davis Passage, Tamarafort, NE 20275"
40417,1,5,43903,"7438 Isaac Gateway, West Julieview, CA 43903"
23393,1,7,56014,"1219 Rubio Fords Apt. 167, Lake Karlamouth, DE 56014"
76256,1,6,73658,"6033 Anthony Mountain, East Samuel, ND 73658"
63652,1,7,4467,"0327 Parker River, New Robin, MO 04467"
50279,1,6,61745,"8332 Desiree Groves, Port Eddieshire, TN 61745"
39366,1,10,62986,"99292 Jesus Highway, Brittneystad, VA 62986"
64996,1,9,43005,"78281 Devin Freeway Apt. 403, New Andrew, IN 43005"
44938,0,3,86643,"9418 Pierce Circle, South Jillianmouth, MT 86643"
29794,1,7,46580,"82756 Joseph Estate, Kimberlyport, SD 46580"
42051,1,5,11475,"12569 Tim Crossing, Lake Matthew, ID 11475"
62922,1,5,55206,"996 Andrea Mall, South Mark, HI 55206"
48984,1,5,37808,"3931 Anderson Forest Apt. 474, South Marcustown, NJ 37808"
73476,1,1,74351,"650 Nichols Dale Suite 134, Hallview, CT 74351"
66891,2,7,45811,"USNV Henry, FPO AA 45811"
61398,1,7,49395,"97918 Stewart Cliffs, Wesleymouth, ID 49395"
25463,1,7,86178,"446 Williams Fork Apt. 506, Jeffreyside, KY 86178"
38021,1,2,18113,"20936 Sara Extension, Jenniferfurt, TN 18113"
72795,1,9,78652,"240 Montgomery Freeway Suite 279, Silvamouth, UT 78652"
70969,1,6,48716,"6403 Anderson Underpass, Matthewton, CA 48716"
84203,1,7,49776,"68891 Grimes Mountain, Marshallburgh, MD 49776"
43101,1,7,60098,"705 Justin Unions, Lake Ronald, IL 60098"
96294,2,5,17839,"128 Brianna Wells, North Julie, DE 17839"
38863,2,7,73017,"011 Sheryl Street Apt. 285, West Maryport, OR 73017"
58060,1,3,26674,"8846 Amanda Lakes, North Jonathanberg, OK 26674"
36871,1,6,86335,"04650 Snow Skyway, West Keithville, DC 86335"
86096,1,7,6546,"37955 Lisa Underpass Apt. 856, Patrickborough, ND 06546"
94493,1,7,95531,"36960 Atkinson Springs Suite 237, New David, MS 95531"
81021,1,7,652,"48403 Ana Union, Smithland, DC 00652"
95874,2,4,78101,"452 Estrada Underpass, New Davidland, LA 78101"
60265,1,6,13974,"21507 Jimenez Trafficway, West Michael, WV 13974"
45412,6,7,70047,"910 Frank Unions Apt. 672, Lake Joshua, MO 70047"
33313,7,8,16173,"573 Jessica Fork, Davidview, NH 16173"
11956,1,7,6252,"843 Bishop Lock Apt. 846, Kimberlybury, AK 06252"
60793,1,9,46978,"4435 Bobby Court, New Jessica, MI 46978"
22725,1,8,55713,"9229 Smith Village Apt. 844, Aaronchester, UT 55713"
21930,1,8,61792,"353 Meghan Cliffs, Kirkside, CA 61792"
26898,3,9,64816,"9785 Michelle Prairie Suite 323, South Joshua, CO 64816"
39459,2,7,62695,"PSC 7311, Box 5801, APO AE 62695"
57056,1,9,73424,"38855 Ellis Vista Suite 517, Sanchezville, DE 73424"
79282,1,4,25828,"65026 Valentine Summit, Nicolechester, VA 25828"
46830,1,8,52643,"426 Brown Crossroad, North Caitlin, SD 52643"
59053,1,10,52668,"1622 Rodriguez Shoals, New Michael, SC 52668"
72930,8,8,24428,"80958 Carson Causeway, East Meagan, AZ 24428"
38046,2,7,75754,"19948 Wilson Passage, Margaretland, AL 75754"
17726,1,6,47244,"62669 Adam Squares, Danielberg, LA 47244"
66665,3,10,99933,"1138 Jennifer View, Port Andre, TN 99933"
99469,1,7,92708,"801 Robert Glens, Port Rebecca, SD 92708"
11738,1,9,81501,"396 Joseph Freeway, Port Ritaton, VA 81501"
84513,3,6,80520,"Unit 8602 Box 5210, DPO AA 80520"
70318,1,9,26768,"36685 Madison Passage Apt. 432, Rosarioville, NV 26768"
64990,1,6,60104,"86405 Charles Underpass Suite 448, Port Allen, HI 60104"
26269,1,6,5796,"30919 Wallace Village, Lake Angelport, ME 05796"
50623,1,6,74837,"PSC 6228, Box 9204, APO AE 74837"
53486,1,4,96303,"26396 Phillips Expressway Apt. 706, Karenshire, OH 96303"
44917,1,6,67139,"504 Hicks Plaza, East Kevinhaven, DE 67139"
78090,7,6,60101,"578 Mcintosh Cape Suite 841, West Cynthiaton, MS 60101"
61858,1,4,57300,"38328 Jeffrey Glens, East Jackburgh, OH 57300"
44144,1,9,34633,"7093 Sanchez Expressway Suite 170, East Markton, VT 34633"
94529,1,7,73769,"071 Wesley Pine, Johnsonton, NJ 73769"
58915,1,7,22027,"82940 Leon Freeway Apt. 801, Kimberlyberg, DE 22027"
41091,1,8,34475,"95827 William Radial, Richardville, VT 34475"
18774,1,7,90245,"Unit 5842 Box 2261, DPO AE 90245"
57722,1,5,37581,"Unit 1068 Box 4384, DPO AP 37581"
77328,1,10,67481,"1943 David Island Apt. 205, Alvarezburgh, WV 67481"
23800,1,4,9691,"Unit 8723 Box 0800, DPO AP 09691"
21796,1,6,50862,"56387 Michael Alley Suite 609, Lake Josemouth, OR 50862"
49085,1,9,36574,"5483 Aaron Meadows Suite 863, Wendyland, WY 36574"
55324,1,6,17069,"948 Heather Island Apt. 975, Jasonburgh, WI 17069"
89248,1,8,50518,"70510 Harris Terrace, South James, WV 50518"
76902,2,6,23699,"421 Barr Roads, Rosarioside, NY 23699"
25351,1,9,32106,"705 Warner Views, Cunninghammouth, KY 32106"
71469,1,7,63159,"12575 Sanders Rest, Garciaside, IL 63159"
32657,2,4,45679,"340 Floyd Harbors, East Christine, CO 45679"
81299,1,6,99092,"54593 Adam Forks, Ginabury, AR 99092"
51683,1,2,19948,"212 Troy Fort, Jonathanmouth, KS 19948"
53616,1,4,91204,"1451 Carlson Prairie Apt. 186, Lake Robert, SD 91204"
33692,2,6,45824,"029 Schaefer Inlet Apt. 216, Smithfort, UT 45824"
38665,1,7,83629,"335 Julie Way, South Ravenchester, MO 83629"
10347,1,5,95428,"09645 Ashley Cliffs Apt. 794, South Susan, MO 95428"
53804,1,9,54004,"00094 Sarah Key, Vaughanfort, WI 54004"
52698,1,6,41264,"62730 Zachary Dale, Jennaborough, ME 41264"
75245,1,5,7945,"151 Brian Light Apt. 919, Tammyville, DC 07945"
73164,1,1,35096,"7844 Roger Vista, North John, DE 35096"
80724,3,6,49891,"PSC 3719, Box 3231, APO AE 49891"
36779,1,5,49491,"874 Brown Key, East Amandaville, AL 49491"
13242,1,4,97283,"622 Richard Crossing Suite 230, Port Tina, NM 97283"
27146,1,5,68572,"38298 Miller Springs Apt. 656, Lake David, VA 68572"
71482,1,10,39416,"4772 Holmes Crossing Apt. 998, Bakerside, CT 39416"
65933,7,10,70712,"2612 Steven Mission, Cherylview, HI 70712"
51637,1,9,78625,"8575 Gutierrez Curve Suite 383, Reedstad, AK 78625"
46284,7,6,5500,"7940 Reilly Via, Simmonsville, OK 05500"
27436,2,7,3974,"805 George Pass, Port Bonnie, CT 03974"
97141,1,7,9995,"7688 Paul Row, East Tammytown, RI 09995"
39551,2,7,31487,"60720 Alvarez Mountains, Port Francisco, AK 31487"
68211,2,7,17421,"8960 Young Rapid, Careymouth, SC 17421"
22950,1,5,5435,"5573 Lori Meadows Suite 165, Ramosborough, AL 05435"
99804,1,5,38610,"8696 Kristina Shore, West Donaldville, NJ 38610"
54168,4,6,34437,"72954 Rodriguez Extensions Apt. 897, North Huntermouth, CA 34437"
71219,1,6,56656,"084 Walker Ranch Apt. 530, New Susanhaven, IN 56656"
63118,4,8,35466,"41567 Jeremy Knolls, Abigailshire, CT 35466"
86093,1,7,92867,"042 Erin Route Apt. 859, Port Anna, NJ 92867"
25644,1,6,62013,"4736 Johnson Ports Suite 392, Thomasstad, WV 62013"
18768,2,5,56698,"PSC 6374, Box 0600, APO AP 56698"
34585,2,9,81679,"99886 Harding Ways Suite 809, South Matthew, KY 81679"
12449,5,6,26192,"172 Amanda Estates Suite 079, Blairburgh, HI 26192"
84091,3,4,92847,"235 Wilson Forge Apt. 719, Port Krystal, AZ 92847"
42480,1,9,58883,"39748 David Greens, Allisonfurt, NY 58883"
47998,1,6,55293,"1540 Grant Crossing, Lake Lawrencestad, WY 55293"
56286,1,7,68226,"630 Jordan Avenue, West Jamie, KS 68226"
50714,1,2,50285,"9525 Taylor Hill, Tylerburgh, SC 50285"
54719,2,8,72923,"9946 Harris Vista Apt. 409, Andrewtown, NY 72923"
40405,1,4,56359,"4044 Carter Plains Apt. 551, Brendamouth, NM 56359"
24956,1,8,79110,"PSC 8302, Box 1095, APO AE 79110"
92329,5,7,700,"6879 Harvey Flats Apt. 139, Lake Dennis, MA 00700"
84892,1,5,62157,"852 Jackson Village Apt. 043, Victoriaberg, CO 62157"
24904,2,5,30246,"24900 Faulkner Mountains, Reyesland, AZ 30246"
59361,1,4,98618,"627 Rachel Shores Suite 258, West Jessicaside, NJ 98618"
74431,1,6,9679,"53057 Berry Mountain Apt. 396, Reginaview, OK 09679"
66970,1,4,67157,"0164 Darryl Village, East Laurenville, NJ 67157"
93783,1,1,43478,"5726 Christopher Gateway Apt. 858, Jackiestad, LA 43478"
66237,1,10,27292,"01712 Levine Squares Apt. 198, Loveton, DC 27292"
70828,3,6,62978,"3677 Teresa Station, Port Matthew, NJ 62978"
73663,1,6,7821,"8499 Charles Centers Apt. 231, Lopezhaven, MA 07821"
33011,1,6,18840,"05392 Caleb Mews Suite 749, Brianfurt, AL 18840"
28775,1,4,61782,"1387 Mclaughlin Gardens Apt. 612, West Christinaberg, NV 61782"
95167,1,6,20534,"USS Rodriguez, FPO AP 20534"
55007,1,6,23289,"15221 Gregory Forges, East Amandaton, KY 23289"
78389,1,2,41570,"USNV Smith, FPO AE 41570"
26774,1,10,38139,"440 Alicia Summit Suite 956, South Sophia, OH 38139"
34735,1,9,59003,"39453 Edwards Unions Apt. 251, South Dianeland, WA 59003"
34135,1,7,39864,"99061 Brock Plains Apt. 018, New Yvonnehaven, WA 39864"
17652,4,7,65525,"097 Sharon Mill Apt. 686, Danielleport, SD 65525"
81554,2,6,38016,"35496 James Spur Suite 918, Elizabethville, KY 38016"
79727,1,1,79330,"02833 Ashley Harbors Suite 114, Daniellechester, ID 79330"
26253,1,5,36436,"PSC 6233, Box 8714, APO AA 36436"
88629,1,9,19092,"2633 Bush Glens Suite 279, Nguyenstad, IL 19092"
61793,1,7,53503,"05668 Brittany Ramp, North Brittanyhaven, FL 53503"
46893,1,2,98160,"186 Dean Bridge Apt. 759, Ericmouth, ME 98160"
67339,1,5,44669,"320 Ware Estates, Muellerview, WY 44669"
94344,1,5,19263,"5203 Susan Hollow Apt. 224, Ronaldbury, ID 19263"
45387,1,8,47948,"601 Garrett Highway Suite 049, Navarroview, ID 47948"
54603,1,8,49349,"Unit 2450 Box 0884, DPO AP 49349"
62257,1,5,90053,"068 Scott Path, Amberborough, HI 90053"
32919,1,8,51048,"610 Moore Run Suite 118, New Regina, AK 51048"
99190,1,7,50789,"08988 Jordan Rue, Youngside, ME 50789"
68181,1,4,1682,"637 Hale Views Apt. 103, Griffinshire, GA 01682"
16423,1,8,73394,"48480 Grimes Valley Suite 053, Carolynmouth, MN 73394"
65212,1,7,85434,"USNS Dean, FPO AP 85434"
50947,1,6,6904,"9289 David Corner Apt. 034, Scottfurt, AR 06904"
87541,1,10,7182,"507 Williams Points Apt. 926, Millerland, MI 07182"
86061,1,7,89939,"69196 Ronald Spur, East Michaelfort, GA 89939"
74884,6,5,39687,"78483 Thompson Hill Apt. 603, Keithberg, NY 39687"
20213,3,8,54647,"404 Briana Heights, West Christopherchester, ID 54647"
31907,2,6,89724,"971 Lawrence Keys, West Joanna, ID 89724"
25990,1,1,90391,"3882 Dalton Islands Apt. 130, Robinsontown, OR 90391"
27713,1,2,25913,"827 Padilla Path, Marissastad, WV 25913"
92626,1,10,23257,"639 Todd Road Suite 416, Hallton, CA 23257"
88834,2,6,70531,"3082 Harris Island Suite 700, West David, UT 70531"
43652,9,4,12660,"833 Randall Forges, Port Joseph, NE 12660"
12946,1,6,82514,"03960 Nichole Oval Suite 588, East Jeffreyside, WA 82514"
68428,1,4,46554,"7778 Sandra Pines Suite 443, West Melissa, MD 46554"
42056,1,3,93360,"265 Vaughn Tunnel, East Amy, OK 93360"
16009,2,4,93849,"83826 Patrick Mission, Port Reginastad, MT 93849"
28600,1,9,37736,"561 Escobar Branch, East Lisaborough, NE 37736"
61783,1,8,81100,"94218 Bailey Spurs, Robinstad, NM 81100"
51797,1,7,50591,"421 Wright Manor, North Alexandrachester, NV 50591"
61122,1,7,99156,"506 Cruz Fork Apt. 486, North Karenview, KS 99156"
44430,1,6,56432,"86369 Rachel Oval, Lake Michael, AR 56432"
14413,1,4,65573,"106 Veronica Knolls, New Angela, RI 65573"
37123,2,8,77838,"181 Monique Villages, Mossside, LA 77838"
39389,1,9,85116,"Unit 3310 Box 0099, DPO AA 85116"
68879,1,9,1689,"1772 Michelle Path, West Donna, AR 01689"
46402,1,6,91744,"811 Gibson Extensions, South Kyle, OK 91744"
74697,1,5,41746,"355 Johnson Mountains Suite 758, New Codyshire, ID 41746"
61446,1,7,90779,"65029 Kerr Mountains, Luismouth, MA 90779"
48375,1,8,70735,"86447 Brian Glens Suite 940, East Kimberly, NE 70735"
37819,2,7,80703,"2827 Holly Mission Suite 673, West Gregoryside, MA 80703"
13580,2,9,73248,"185 Smith Loop Suite 698, West James, NY 73248"
47882,1,4,57372,"436 Erika Lane, New Benjaminbury, NC 57372"
94265,1,5,19446,"49477 Lynn Loaf, Port Cynthia, LA 19446"
40223,1,9,13890,"3128 Justin Crest, Leefurt, MO 13890"
20930,1,9,83159,"92151 Theresa Skyway, Josestad, RI 83159"
28365,4,5,9527,"0170 Richardson Unions, Davidfurt, WY 09527"
96026,1,7,91715,"USNV Long, FPO AE 91715"
12320,2,6,55321,"297 Michael Crescent Apt. 981, Hicksville, OR 55321"
62242,1,9,37228,"32905 Yoder Garden Suite 564, Diazland, CA 37228"
36031,1,6,23240,"0923 Louis Pine Apt. 847, West Ronaldport, OK 23240"
62439,1,9,46359,"62823 Erica Station Suite 940, Martinezmouth, GA 46359"
48804,1,5,79923,"203 Tammy Trafficway, Martinezhaven, SD 79923"
36985,2,9,55202,"0696 Rhonda Junction Suite 083, East Deniseberg, NJ 55202"
50032,1,5,94844,"2650 William Ports, Jasonshire, MO 94844"
49296,4,5,19473,"3491 Matthew Parks, New William, NY 19473"
47934,1,6,77361,"1938 Hamilton Circle, South Reginaport, IN 77361"
82299,1,7,59047,"78538 Montgomery Loop, Port Jessica, IL 59047"
19830,1,5,51000,"PSC 9407, Box 9000, APO AA 51000"
13319,1,9,63441,"732 Kelly Pines Apt. 909, Lake Sarah, MD 63441"
66934,1,4,76019,"51625 Thomas Mountains Suite 662, Mariabury, IA 76019"
84089,1,9,19395,"472 Jennifer Prairie, East Michael, KS 19395"
10980,2,7,76568,"117 Oconnor Turnpike Suite 782, Younghaven, WV 76568"
77578,1,9,66536,"402 Edwin Lodge Suite 667, South Timothyburgh, CA 66536"
71805,1,9,53992,"61213 Harvey Hills Apt. 392, West Jesseport, FL 53992"
75407,1,6,99656,"11150 Sarah Cliff, Hamiltonview, AR 99656"
75482,1,8,49425,"8439 Brandy Viaduct Apt. 351, South Joseph, OK 49425"
55418,1,5,10043,"91031 Jeanne Park, Michellefurt, WA 10043"
35713,8,7,2725,"USS Williams, FPO AA 02725"
13803,1,9,84176,"838 Matthew Brook, West David, NJ 84176"
37998,1,4,65789,"572 French Circle, Lake Jennifer, ME 65789"
51535,1,7,97600,"USS Long, FPO AP 97600"
40065,1,6,5910,"Unit 4396 Box 1508, DPO AP 05910"
89974,1,5,19833,"2152 Haley Springs Suite 108, New Jessicaland, KS 19833"
48858,1,5,66174,"46487 Derek Gateway, North Davidborough, NC 66174"
58833,4,10,72825,"73993 Ho Walks, Michaelville, FL 72825"
84184,1,9,95978,"9635 Brown Forges Suite 451, Ericaborough, NH 95978"
41029,1,6,32947,"56464 Williamson Ferry Apt. 674, Bryanchester, FL 32947"
22396,1,6,7386,"427 Sarah Glens Suite 735, Garciabury, MD 07386"
65865,1,1,42737,"15137 Tammy Locks Apt. 247, Diazside, SD 42737"
94634,1,2,42621,"9456 Jason Lodge, Jennamouth, MO 42621"
86582,4,6,80235,"569 David Manor, New Kathrynstad, AR 80235"
73045,1,0,83965,"5459 Wall Orchard, West Danaland, ND 83965"
52210,3,4,26008,"81368 Chandler Radial Apt. 598, East Ashleymouth, AK 26008"
77570,4,8,38256,"456 Morris View, Michaelland, IN 38256"
26424,1,7,94752,"20353 Jackson Track, Lake Robert, TN 94752"
27575,1,10,55329,"1439 Joseph Parkway Suite 215, Edwardsstad, OK 55329"
97509,2,5,56996,"7436 Gonzalez Court, Laurenville, CO 56996"
97049,1,9,63868,"448 Christina Fort Suite 328, New Robert, HI 63868"
45077,2,6,7256,"Unit 5529 Box 8220, DPO AA 07256"
80869,1,4,12437,"40472 Deleon River, Gonzalesshire, MS 12437"
57613,1,3,16267,"2487 Martinez Grove Apt. 199, Mossside, IN 16267"
74267,10,10,15017,"1274 Barton Flats, East Thomas, NC 15017"
63628,1,7,83303,"3700 Dana Land Suite 686, New Ethan, WA 83303"
52792,1,7,97171,"827 Rebecca Tunnel Apt. 724, New Jenniferton, VT 97171"
43753,1,9,75613,"082 Erin Plains, Philipchester, NV 75613"
30985,1,5,89980,"80993 Case Stravenue, Port Susan, MA 89980"
68993,1,7,27775,"901 Hopkins Mill Apt. 079, Teresastad, ID 27775"
14881,2,5,47408,"07401 Jennifer Island, Priceton, ID 47408"
42011,3,5,46888,"53619 Alexander Rue, Lake Christopher, CO 46888"
24041,1,7,7254,"587 Wanda Club Apt. 455, North Juan, NY 07254"
99092,1,8,73212,"170 Warren Square Suite 666, East Katie, GA 73212"
78903,1,10,35718,"5195 Turner Path Apt. 243, Robinfort, TX 35718"
25697,1,5,47421,"Unit 7686 Box 4155, DPO AP 47421"
15047,1,8,34914,"51512 Whitaker River, Dylanside, ID 34914"
25969,1,6,51646,"2717 Rocha Union, Edwardshire, CT 51646"
67898,1,7,31278,"78199 Ramos Locks Suite 836, East Jonathan, SD 31278"
19666,1,9,61045,"1720 Amanda Islands Suite 234, East Kevinborough, OR 61045"
52052,3,5,5083,"5227 Daniel Skyway, Port Michelle, NC 05083"
24726,2,7,2800,"412 Smith Summit, Whitehaven, SD 02800"
31583,1,5,31051,"529 Gregory Vista Apt. 457, Lake Jesus, WY 31051"
80322,1,1,30021,"632 Samantha Rapids Apt. 155, South Elizabethfurt, TX 30021"
49987,1,5,9367,"444 Mullen Burg Suite 832, West Douglas, NV 09367"
32271,2,5,41073,"85324 Dustin Spur, South Elaineside, CT 41073"
39133,1,8,21455,"0562 Dylan Drive, Danielville, SD 21455"
32811,2,8,51530,"6866 David Underpass Apt. 241, Johnsonmouth, IA 51530"
89828,1,6,13329,"1143 Obrien Spurs Apt. 060, Juliaside, MT 13329"
73611,2,7,72606,"2210 Dixon Crest, Bradleymouth, SC 72606"
